ProductID,ProductName,Category,SubCategory,UnitCost,ListPrice,Brand,IsActive
1,Laptop Pro 15,Electronics,Computers,48000.00,65000.00,Dell,1
2,Wireless Mouse,Electronics,Accessories,900.00,1500.00,Logitech,1
3,Office Chair,Furniture,Seating,14000.00,22000.00,Interwood,1
4,Desk Lamp LED,Furniture,Lighting,1800.00,3200.00,Philips,1
5,Power BI Book,Books,Technology,2200.00,4000.00,Pearson,1
6,External SSD 1TB,Electronics,Storage,9500.00,14000.00,Samsung,1
7,Standing Desk,Furniture,Desks,28000.00,42000.00,Interwood,1
8,Webcam HD 1080p,Electronics,Accessories,3200.00,5500.00,Logitech,1
9,UPS 1500VA,Electronics,Power,12000.00,18000.00,APC,1
10,Mechanical Keyboard,Electronics,Accessories,4500.00,7500.00,Keychron,1
11,Monitor 24 inch,Electronics,Displays,22000.00,35000.00,LG,1
12,Printer Laser,Electronics,Printers,18000.00,28000.00,HP,1
